원어,순화어,주의,치환전략,상태
공사 공정 예정표(工事工程豫定表),공사 일정표
공사 현장 대리인(工事現場代理人),공사 현장 책임자
공실(空室),빈방
공지(空地),"빈 땅, 빈터","동형이의 주의: 이 항목은 空地(빈 땅) 뜻이다. 골든 코퍼스 56건에 '공지'가 한 번도 등장하지 않고, 복지·행정 문서의 '공지'는 사실상 전부 公知(알림)라 이 뜻으로 매칭되면 오변환 위험이 있어 비활성화함. 알림 뜻의 公知 엔트리는 welfare_seed_5.csv에 별도 신규 집필함 (2026-08-30 검수, consumer-overlap-policy §3.3)",substitute,deprecated
공차(公差),허용 오차
공칭 전압(公稱電壓),표준 전압
공하다(供--),"① (~에) 사용하다, 사용되다, 쓰이다 ② (~에) 제공하다, 주다, 바치다"
과당 경쟁(過當競爭),지나친 경쟁
과대 계상(過大計上),"과대 반영, 과다 반영"
과오 지급(過誤支給),잘못 지급
과표 신장률(課標伸張率),과세 표준 증가율
관급(官給),"관공서 지급, 관공서에서 지급"
관급 자재(官給資材),관공급 자재
관대(棺臺),널받침
관용(官用),관청용
관유물(官有物),공공기관 물건
관인(官印),기관 도장
관장하다(管掌--),"담당하다, 맡다, 맡아 보다, 처리하다"
관재 업무(管財業務),재산 관리 업무
괄목하다(刮目--),놀랄 만하다
교시하다(敎示--),"가르치다, 가르쳐 주다, 알려 주다"
교환 차금(交換差金),교환 차액
구명동의(救命胴衣),구명조끼
구배(勾配),"① 기울기, 물매 ② 비탈, 오르막"
구상하다(求償--),"배상을 요구하다, 보상을 요구하다"
구유 재산(區有財産),구 소유 재산
구제하다(驅除--),없애다
구휼(救恤),"구호, 구제"
국기(國基),"국가의 기초, 국가의 근본, 나라 터전"
국부적인(局部的-),부분적인
국지(局地),일부 지역
굴취하다(掘取--),"캐내다, 파내다"
굴토(掘土),땅파기
권면 금액(券面金額),표기 금액
궐석(闕席),결석
궐위하다(闕位--),"비다, 자리가 비다"
규격 봉서(規格封書),규격 봉함 편지
